zcmb,zhel,mb,e_mb,x1,e_x1,c,e_c,logMst
0.452,0.451,23.242,0.088,-0.214,0.112,0.191,0.029,11.34
0.961,0.96,24.587,0.116,0.201,0.482,0.027,0.06,6.0
0.581,0.58,23.517,0.098,-0.458,0.398,-0.062,0.048,9.015
0.806,0.805,23.903,0.097,0.669,0.463,-0.161,0.049,9.839
0.806,0.805,24.394,0.106,-0.186,0.394,0.089,0.066,11.164
0.665,0.664,23.513,0.094,0.558,0.208,-0.175,0.05,9.004
0.823,0.822,24.373,0.1,-0.557,0.23,-0.125,0.059,11.111
0.746,0.745,23.92,0.095,0.939,0.232,-0.063,0.052,10.471
0.443,0.442,22.664,0.087,1.153,0.164,-0.026,0.023,10.46
0.58,0.579,23.295,0.089,1.489,0.208,0.002,0.029,8.832
0.219,0.219,20.852,0.085,0.699,0.063,-0.04,0.024,10.63
0.358,0.3578,22.516,0.086,-0.387,0.081,0.079,0.023,10.189
0.461,0.4607,22.575,0.096,1.862,0.565,-0.043,0.038,9.339
0.644,0.643,23.786,0.094,-0.205,0.205,-0.028,0.065,9.98
0.671,0.67,24.064,0.096,0.571,0.474,0.054,0.055,10.078
0.405,0.404,22.603,0.086,-0.385,0.081,-0.069,0.023,9.512
0.644,0.643,23.615,0.099,0.591,0.421,-0.063,0.065,8.442
0.649,0.648,23.975,0.093,-0.45,0.196,0.057,0.05,9.138
0.371,0.37,22.629,0.087,-0.893,0.121,0.049,0.023,8.008
0.767,0.766,24.299,0.104,0.502,0.423,-0.003,0.066,10.4
0.684,0.683,24.055,0.115,0.692,0.632,0.0,0.085,10.083
0.621,0.62,23.784,0.093,-0.677,0.195,-0.028,0.046,9.517
0.268,0.268,21.712,0.086,-0.072,0.054,0.048,0.022,9.55
0.356,0.3553,22.927,0.087,0.056,0.193,0.205,0.03,10.831
0.716,0.715,23.992,0.097,-0.806,0.294,-0.064,0.064,10.726
0.691,0.69,24.378,0.096,-0.154,0.359,0.177,0.062,9.459
0.263,0.263,21.666,0.086,-1.083,0.084,0.027,0.023,10.29
0.814,0.813,24.297,0.099,-0.269,0.284,-0.147,0.057,9.719
0.891,0.89,24.224,0.104,-0.725,0.457,-0.207,0.052,8.876
0.727,0.726,23.897,0.095,0.615,0.477,-0.072,0.053,8.709
0.761,0.76,23.907,0.101,0.551,0.692,-0.129,0.082,10.438
0.728,0.727,23.947,0.099,-0.795,0.407,-0.107,0.067,10.293
0.951,0.95,24.596,0.112,1.17,0.446,-0.137,0.054,9.882
0.902,0.901,24.408,0.111,0.902,0.389,-0.154,0.059,9.661
0.648,0.647,23.899,0.092,0.31,0.183,0.033,0.051,8.931
0.961,0.96,24.719,0.112,0.378,0.314,-0.159,0.051,6.0
0.601,0.6,23.845,0.094,0.178,0.346,0.106,0.041,10.873
0.037,0.0364,17.077,0.141,-0.639,0.114,-0.028,0.026,10.173
0.04,0.0407,16.947,0.142,1.204,0.445,-0.061,0.024,10.656
0.063,0.0644,17.798,0.14,1.849,0.293,-0.01,0.031,11.32
0.162,0.163,20.328,0.121,1.786,0.374,0.02,0.034,8.508
0.311,0.312,21.379,0.124,1.245,0.754,-0.096,0.051,9.113
0.261,0.262,21.261,0.117,1.298,0.381,-0.081,0.042,5.0
0.015,0.0157,15.065,0.154,-1.167,0.033,0.042,0.023,10.982
0.034,0.0346,16.969,0.14,0.879,0.068,0.074,0.022,10.781
0.022,0.0219,16.207,0.145,-1.518,0.066,0.049,0.021,10.843
0.054,0.0542,17.558,0.141,-1.597,0.284,-0.118,0.03,11.314
0.022,0.0222,15.971,0.146,0.936,0.152,0.122,0.029,10.645
0.034,0.034,16.764,0.139,-1.071,0.041,-0.113,0.019,10.6
0.02,0.0203,15.744,0.148,-1.005,0.077,-0.031,0.028,10.414
0.265,0.266,21.535,0.12,0.347,0.787,-0.022,0.047,11.053
0.056,0.0574,17.716,0.113,1.054,0.09,-0.029,0.024,9.571
0.192,0.1932,20.467,0.115,-0.793,0.604,-0.097,0.032,9.907
0.252,0.253,21.406,0.116,-0.218,0.302,-0.009,0.036,8.743
0.678,0.679,24.078,0.098,0.619,0.404,-0.039,0.067,8.647
0.72,0.721,23.899,0.096,0.391,0.357,-0.034,0.067,6.0
0.777,0.778,24.398,0.098,0.135,0.287,0.099,0.07,10.38
0.689,0.69,23.604,0.092,0.228,0.257,-0.108,0.05,8.851
0.638,0.639,24.012,0.101,-1.611,0.377,0.107,0.083,9.314
0.346,0.347,22.398,0.087,-1.155,0.113,-0.041,0.027,10.821
0.586,0.587,24.088,0.093,1.097,0.29,0.148,0.042,9.854
0.948,0.95,24.677,0.112,0.183,0.422,0.041,0.061,10.215
0.797,0.798,24.129,0.098,0.699,0.263,0.094,0.062,7.966
0.864,0.866,24.277,0.103,0.231,0.292,-0.142,0.059,11.043
0.565,0.566,23.285,0.09,1.23,0.223,-0.021,0.035,10.234
0.859,0.86,24.246,0.102,0.728,0.277,0.047,0.058,8.73
0.859,0.86,24.427,0.116,1.158,0.703,-0.137,0.08,8.911
0.849,0.85,24.295,0.101,1.151,0.276,-0.054,0.055,8.086
0.559,0.56,23.7,0.09,0.285,0.192,0.112,0.035,9.645
0.495,0.496,22.96,0.088,-0.729,0.102,-0.1,0.03,11.58
0.616,0.617,24.071,0.092,-0.095,0.234,0.109,0.039,9.724
0.866,0.868,24.354,0.106,0.376,0.348,-0.063,0.068,8.53
0.734,0.735,23.985,0.094,-1.345,0.223,-0.117,0.053,11.382
0.736,0.737,24.3,0.097,-1.464,0.302,-0.052,0.066,11.125
0.983,0.985,24.76,0.114,0.595,0.449,-0.099,0.059,9.769
0.841,0.842,24.254,0.101,1.862,0.369,-0.013,0.06,8.631
0.489,0.49,22.868,0.088,0.545,0.137,-0.068,0.027,7.466
0.262,0.263,21.19,0.087,1.38,0.12,-0.01,0.026,8.93
0.762,0.763,24.04,0.097,0.177,0.251,-0.057,0.053,6.0
0.701,0.702,23.858,0.094,0.137,0.297,-0.012,0.054,10.638
0.581,0.582,23.574,0.09,0.974,0.274,-0.025,0.037,9.169
0.767,0.768,24.132,0.097,0.906,0.244,-0.119,0.056,9.64
0.769,0.77,24.546,0.097,-0.334,0.339,0.085,0.064,10.418
0.913,0.915,24.344,0.105,-0.044,0.286,-0.161,0.052,9.397
0.21,0.211,21.057,0.086,-1.236,0.062,-0.003,0.025,10.635
0.435,0.436,22.556,0.087,0.828,0.21,-0.057,0.026,9.888
0.584,0.585,23.336,0.089,0.218,0.126,-0.063,0.03,9.929
0.584,0.585,23.564,0.092,-0.443,0.289,-0.066,0.034,10.623
0.799,0.8,24.51,0.102,-1.057,0.407,-0.056,0.065,10.651
0.514,0.515,23.573,0.09,0.986,0.196,0.103,0.036,9.808
0.563,0.564,23.507,0.09,-0.148,0.154,-0.009,0.032,9.316
0.631,0.632,23.701,0.092,-0.247,0.204,0.001,0.043,10.111
0.579,0.58,23.279,0.089,0.651,0.122,-0.045,0.031,9.416
0.559,0.56,24.149,0.093,0.658,0.296,0.133,0.041,8.425
0.662,0.6634,24.073,0.093,0.445,0.377,0.084,0.056,10.416
0.589,0.59,23.396,0.091,-0.067,0.207,-0.069,0.033,9.17
0.331,0.332,21.861,0.086,0.65,0.119,-0.018,0.024,10.391
0.829,0.83,24.362,0.101,2.292,0.344,-0.067,0.058,8.42
0.996,0.998,24.618,0.112,1.273,0.343,-0.131,0.051,9.034
0.503,0.5043,23.002,0.088,1.273,0.15,-0.012,0.03,9.517
0.558,0.559,23.522,0.09,-0.594,0.188,0.0,0.035,10.973
0.583,0.5842,23.273,0.09,0.265,0.159,-0.105,0.034,11.338
0.766,0.767,24.244,0.096,0.181,0.273,0.012,0.054,10.496
0.368,0.369,22.157,0.086,0.789,0.068,-0.092,0.022,8.199
0.611,0.612,23.285,0.093,-1.162,1.641,-0.095,0.05,9.715
0.859,0.86,24.622,0.106,0.414,0.447,0.075,0.074,10.379
0.316,0.3176,21.847,0.122,-2.282,0.561,-0.146,0.05,10.899
